case,targets,n_epochs,batch_size,l1_lambda,l2_lambda,loss_func,hidden_channels,conv_layers,conv_activation,decode_activation,decode_layers,learning_rate,schedule,g_up,g_down,N_params,N_trainable,scatter,lowest,epoch_exit,last20,last10
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,2.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,168642.0,168642.0,0.9294349551200867,0.9294540286064148,75.0,0.9294564723968506,0.9294565320014954
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,369922.0,369922.0,0.658536434173584,0.6480637788772583,31.0,0.6723365783691406,0.6677014827728271
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.003,constant,1.3,0.98,477954.0,477954.0,0.10196743160486221,0.09818106144666672,107.0,0.10160340368747711,0.10170875489711761
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,464897.0,464897.0,0.10044880956411362,0.099613718688488,245.0,0.09993205219507217,0.09979517012834549
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,2.0,leakyrelu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,168642.0,168642.0,0.09632795304059982,0.09492812305688858,457.0,0.0968300998210907,0.0963301956653595
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,310722.0,310722.0,0.5200538635253906,0.5198042988777161,145.0,0.5345140695571899,0.53697270154953
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,469378.0,469378.0,0.12652748823165894,0.1205308586359024,289.0,0.13112467527389526,0.12653039395809174
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,469378.0,469378.0,0.12803229689598083,0.09988018870353699,181.0,0.10142163932323456,0.10040391981601715
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,477954.0,477954.0,0.9294164180755615,0.92943274974823,25.0,0.9294547438621521,0.9294520020484924
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,3.0,leakyrelu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,239682.0,239682.0,0.9294360876083374,0.9294511079788208,39.0,0.9294543266296387,0.9294559955596924
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,477954.0,477954.0,0.09578090161085129,0.0950247198343277,235.0,0.09838928282260895,0.09894578158855438
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,369922.0,369922.0,0.1091989204287529,0.10682490468025208,155.0,0.11213991045951843,0.10835990309715271
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,4.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,312962.0,312962.0,0.09211143851280212,0.0918906033039093,417.0,0.09479986131191254,0.09251783788204193
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,261890.0,261890.0,0.11369229108095169,0.0971350148320198,219.0,0.10319873690605164,0.09775026887655258
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,469378.0,469378.0,0.9294386506080627,0.9293991923332214,23.0,0.9294602274894714,0.9294607639312744
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,464897.0,464897.0,0.1121835932135582,0.11152258515357971,119.0,0.11528867483139038,0.11259781569242477
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,356865.0,356865.0,0.10754132270812988,0.10628112405538559,209.0,0.10694864392280579,0.10727321356534958
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.3,0.98,352770.0,352770.0,0.7089171409606934,0.6844841837882996,35.0,0.7244157195091248,0.7336305379867554
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,261890.0,261890.0,0.1058424562215805,0.10321421921253204,463.0,0.10454331338405609,0.1050407886505127
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,2.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,170882.0,170882.0,0.18464341759681702,0.18236666917800903,499.0,0.18759313225746155,0.18756550550460815
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,460802.0,460802.0,0.11264973878860474,0.11071223765611649,155.0,0.11762669682502747,0.12086544930934906
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,361346.0,361346.0,0.9293953776359558,0.9292413592338562,29.0,0.9293556213378906,0.9293877482414246
